model,accuracy,macro_precision,macro_recall,macro_f1,mean_latency_ms,subset_OOS_acc,subset_OOS_count_correct,subset_OOS_count_total,subset_ambiguous_acc,subset_ambiguous_count_correct,subset_ambiguous_count_total,subset_boundary_acc,subset_boundary_count_correct,subset_boundary_count_total,subset_clear_in_scope_acc,subset_clear_in_scope_count_correct,subset_clear_in_scope_count_total,subset_robustness_acc,subset_robustness_count_correct,subset_robustness_count_total,correct_count,total_count
E1 Baseline,0.7042,0.7519,0.7524,0.7375,0.61,0.4667,14,30,0.5333,16,30,0.7,42,60,0.8125,91,112,0.75,6,8,169,240
E2 Semantic,0.7542,0.7345,0.7804,0.747,10.02,0.3,9,30,0.9667,29,30,0.6833,41,60,0.8661,97,112,0.625,5,8,181,240
E3 Hybrid (alpha=0.6),0.8333,0.8229,0.8618,0.8362,10.63,0.5333,16,30,0.9,27,30,0.75,45,60,0.9375,105,112,0.875,7,8,200,240
