alpha,accuracy,macro_precision,macro_recall,macro_f1
0.0,0.75,0.7584,0.75,0.7462
0.1,0.7688,0.7856,0.7688,0.766
0.2,0.775,0.7943,0.775,0.773
0.3,0.7625,0.7798,0.7625,0.759
0.4,0.7688,0.7808,0.7688,0.7645
0.5,0.7812,0.7957,0.7812,0.778
0.6,0.7875,0.7991,0.7875,0.7832
0.7,0.7812,0.8069,0.7812,0.7753
0.8,0.7125,0.7328,0.7125,0.7036
0.9,0.65,0.6622,0.65,0.6391
1.0,0.5938,0.593,0.5938,0.5816
