model,accuracy,macro_precision,macro_recall,macro_f1
E1 (TF-IDF+LR),0.525,0.6655,0.525,0.5462
E2 (Semantic+LR),0.75,0.7584,0.75,0.7462
E3 Hybrid (alpha=0.6),0.7875,0.7991,0.7875,0.7832
