model,accuracy,macro_precision,macro_recall,macro_f1,mean_latency_ms,subset_OOS_acc,subset_ambiguous_acc,subset_boundary_acc,subset_clear_in_scope_acc,subset_robustness_acc
E1 (TF-IDF+LR),0.7042,0.7519,0.7524,0.7375,0.52,0.4667,0.5333,0.7,0.8125,0.75
E2 (Semantic+LR),0.7542,0.7345,0.7804,0.747,9.79,0.3,0.9667,0.6833,0.8661,0.625
Difference (E2 - E1),0.05,-0.0174,0.028,0.0095,9.27,-0.1667,0.4334,-0.0167,0.0536,-0.125
