subset,count,acc_thresh_009,macro_f1_thresh_009,acc_raw_000,macro_f1_raw_000
OOS,30,46.67%,3.98%,3.33%,0.40%
ambiguous,30,53.33%,4.35%,40.00%,3.57%
boundary,60,70.00%,68.06%,76.67%,70.63%
clear_in_scope,112,81.25%,82.62%,84.82%,84.40%
robustness,8,75.00%,35.42%,75.00%,33.33%
